City,Country,Date,AQI,PM2_5,PM10,NO2,O3,Temperature_C,Humidity_Percent
New York,USA,2023-01-01,45,12,20,15,30,5,60
New York,USA,2023-01-15,50,15,25,20,35,3,65
New York,USA,2023-02-01,65,22,35,28,40,2,55
New York,USA,2023-02-15,40,10,18,12,28,6,50
New York,USA,2023-03-01,55,18,28,22,38,10,58
New York,USA,2023-03-15,48,14,22,17,32,12,62
New York,USA,2023-04-01,60,20,30,25,45,15,55
New York,USA,2023-04-15,70,25,38,30,50,18,60
New York,USA,2023-05-01,85,35,50,38,60,22,65
New York,USA,2023-05-15,90,40,55,42,65,25,70
New York,USA,2023-06-01,110,55,75,50,80,28,75
New York,USA,2023-06-15,120,60,85,55,85,30,80
Los Angeles,USA,2023-01-01,80,30,45,40,45,18,50
Los Angeles,USA,2023-01-15,85,32,48,42,48,17,55
Los Angeles,USA,2023-02-01,75,28,42,38,42,16,60
Los Angeles,USA,2023-02-15,70,25,38,35,40,19,55
Los Angeles,USA,2023-03-01,90,35,52,45,55,20,50
Los Angeles,USA,2023-03-15,95,38,55,48,60,22,45
Los Angeles,USA,2023-04-01,105,45,65,55,70,24,40
Los Angeles,USA,2023-04-15,115,50,75,60,80,25,45
Los Angeles,USA,2023-05-01,130,60,85,68,95,27,50
Los Angeles,USA,2023-05-15,145,70,100,75,110,28,55
Los Angeles,USA,2023-06-01,160,80,115,85,125,30,60
Los Angeles,USA,2023-06-15,175,90,130,95,140,32,65
London,UK,2023-01-01,50,15,25,30,20,6,75
London,UK,2023-01-15,55,18,28,35,22,5,80
London,UK,2023-02-01,65,22,35,45,25,7,70
London,UK,2023-02-15,45,12,20,25,18,8,65
London,UK,2023-03-01,60,20,30,40,28,10,70
London,UK,2023-03-15,58,19,29,38,26,12,68
London,UK,2023-04-01,70,25,38,50,35,15,65
London,UK,2023-04-15,75,28,42,55,38,16,60
London,UK,2023-05-01,85,35,50,65,45,18,65
London,UK,2023-05-15,90,38,55,70,50,20,70
London,UK,2023-06-01,105,45,65,85,60,22,65
London,UK,2023-06-15,115,50,75,95,70,24,60
Beijing,China,2023-01-01,150,85,110,55,35,-2,40
Beijing,China,2023-01-15,165,95,125,60,38,-4,45
Beijing,China,2023-02-01,140,75,95,50,30,2,35
Beijing,China,2023-02-15,130,65,85,45,28,5,30
Beijing,China,2023-03-01,180,105,140,65,45,10,40
Beijing,China,2023-03-15,195,115,155,70,50,14,45
Beijing,China,2023-04-01,210,125,170,80,60,18,35
Beijing,China,2023-04-15,225,135,185,85,65,22,40
Beijing,China,2023-05-01,185,110,145,70,75,26,45
Beijing,China,2023-05-15,170,100,130,65,80,28,50
Beijing,China,2023-06-01,155,90,115,60,95,32,60
Beijing,China,2023-06-15,145,80,100,55,105,34,65
New Delhi,India,2023-01-01,350,250,300,85,45,15,65
New Delhi,India,2023-01-15,380,280,330,95,50,12,70
New Delhi,India,2023-02-01,320,220,270,75,40,18,60
New Delhi,India,2023-02-15,290,190,240,65,35,22,55
New Delhi,India,2023-03-01,260,160,210,60,55,28,50
New Delhi,India,2023-03-15,240,140,190,55,65,32,45
New Delhi,India,2023-04-01,210,110,160,50,80,38,35
New Delhi,India,2023-04-15,190,95,140,45,95,42,30
New Delhi,India,2023-05-01,170,80,120,40,110,45,35
New Delhi,India,2023-05-15,180,85,130,42,125,43,40
New Delhi,India,2023-06-01,200,100,150,48,140,40,55
New Delhi,India,2023-06-15,210,110,160,52,150,38,65
Pretoria,South Africa,2023-01-01,65,22,35,30,40,28,45
Pretoria,South Africa,2023-01-15,70,25,38,32,42,29,50
Pretoria,South Africa,2023-02-01,60,20,30,28,38,27,55
Pretoria,South Africa,2023-02-15,55,18,28,25,35,26,60
Pretoria,South Africa,2023-03-01,75,28,42,35,45,24,65
Pretoria,South Africa,2023-03-15,80,32,48,38,48,22,70
Pretoria,South Africa,2023-04-01,90,38,55,42,55,20,60
Pretoria,South Africa,2023-04-15,95,40,60,45,60,18,55
Pretoria,South Africa,2023-05-01,110,50,70,55,65,15,50
Pretoria,South Africa,2023-05-15,120,55,80,60,70,13,45
Pretoria,South Africa,2023-06-01,135,65,95,68,75,10,40
Pretoria,South Africa,2023-06-15,150,75,110,75,80,12,35
Sydney,Australia,2023-01-01,35,10,15,12,25,25,60
Sydney,Australia,2023-01-15,40,12,18,15,28,26,65
Sydney,Australia,2023-02-01,38,11,16,14,26,27,62
Sydney,Australia,2023-02-15,42,14,20,16,30,28,68
Sydney,Australia,2023-03-01,45,15,22,18,32,24,70
Sydney,Australia,2023-03-15,48,16,24,20,35,22,72
Sydney,Australia,2023-04-01,50,18,26,22,38,20,65
Sydney,Australia,2023-04-15,55,20,30,25,40,18,60
Sydney,Australia,2023-05-01,60,22,35,28,42,16,55
Sydney,Australia,2023-05-15,65,25,38,30,45,14,50
Sydney,Australia,2023-06-01,70,28,42,32,48,12,45
Sydney,Australia,2023-06-15,75,30,45,35,50,10,50
